#,شركة,الاتفاقية/العقد,الفترة من,الفترة إلى,العملة\ جنيه\ دولار,متبقي رسوم عقد المخلفات,متبقي بونص توقيع عقد مخلفات,متبقي سداد الهيئة رسوم عقد المخلفات,متبقي سداد الهيئة بونص توقيع عقد مخلفات
591,شركة لحا للتعدين,591,2015-09-17,2017-09-16,,2200000, -   , -   , -   
590,اتلانتا للتعدين,590,2019-08-24,2020-08-23,,5000000, -   , -   , -   
587,شركة التواصل للتجارة والاستثمار المحدودة-ابو جبيهة,587,2017-08-16,2019-08-15,,10000000, -   , -   , -   
583,السنط لتعدين المحدودة,583,2018-01-11,2020-01-10,,20000000, -   , -   , -   
582,التواصل للتجارة والإستثمار المحدودة -كادقلي,582,2022-08-20,2024-08-19,,79990000, -   , -   , -   
574,شركة أعمال ديدان للتعدين,574,2021-06-29,2024-06-28,,60000000, -   , -   , -   
572,الإعتماد للصناعات الحديدية المحدودة (أبو جبيهة),572,2019-09-05,2022-09-04,,85000000, -   , -   , -   
570,شركة ليجند تورنادو للحلول المتكاملىة,570,2021-05-04,2024-05-03,,25000000, -   , -   , -   
569,إسكاي موتور للتجارة و الإستثمار المحدودة,569,2021-10-06,2024-10-05,,60000000, -   , -   , -   
568,شركة احيمر للتعدين المحدودة,568,2022-11-03,2025-11-02,,20000000, -   , -   , -   
566,شركة أكاكوس,566,2018-01-02,2020-01-02,,1361111.11, -   , -   , -   
